title,singer,bilibili_url,bvid,page,start_seconds,end_seconds,duration_seconds,cover_url
红色高跟鞋,蔡健雅,https://www.bilibili.com/video/BV1pr6aYiE97/?p=55,BV1pr6aYiE97,55,,,207,https://i1.hdslb.com/bfs/storyff/n241229sa3fyvfwh4xb2yp2in5rpcifp_firsti.jpg
最熟悉的陌生人,萧亚轩,https://www.bilibili.com/video/BV1pr6aYiE97/?p=56,BV1pr6aYiE97,56,,,260,https://i1.hdslb.com/bfs/storyff/n241229sa1sjgz65v8vlsb1rbgs1l3g4_firsti.jpg
味道,辛晓琪,https://www.bilibili.com/video/BV1pr6aYiE97/?p=57,BV1pr6aYiE97,57,,,238,https://i1.hdslb.com/bfs/storyff/n241229saidpkkafslyt6eebnq765d8j_firsti.jpg
那么骄傲,金海心,https://www.bilibili.com/video/BV1pr6aYiE97/?p=58,BV1pr6aYiE97,58,,,248,https://i2.hdslb.com/bfs/storyff/n241229saak7u5s14c18og6t2sfna1td_firsti.jpg
遗失的美好,张韶涵,https://www.bilibili.com/video/BV1pr6aYiE97/?p=59,BV1pr6aYiE97,59,,,260,https://i1.hdslb.com/bfs/storyff/n241229sa235nw6v24yjf4l1zzha5yll_firsti.jpg
嘉宾,路飞文,https://www.bilibili.com/video/BV1pr6aYiE97/?p=60,BV1pr6aYiE97,60,,,271,https://i2.hdslb.com/bfs/storyff/n241229sa2eg1ak246j7cfdg7xsu3rpm_firsti.jpg
醒不来的梦,回小仙,https://www.bilibili.com/video/BV1pr6aYiE97/?p=61,BV1pr6aYiE97,61,,,233,https://i0.hdslb.com/bfs/storyff/n241229sa4hh9pu50tzhx3npw6fupgi2_firsti.jpg
阿拉斯加海湾,蓝心羽,https://www.bilibili.com/video/BV1pr6aYiE97/?p=62,BV1pr6aYiE97,62,,,238,https://i1.hdslb.com/bfs/storyff/n241229sa2v47kdo600jp83d70570lgi_firsti.jpg
云与海,阿YueYue,https://www.bilibili.com/video/BV1pr6aYiE97/?p=63,BV1pr6aYiE97,63,,,259,https://i2.hdslb.com/bfs/storyff/n241229sa335smwzu0x8xa2gv2eousj1_firsti.jpg
爱，籽，花,张钰,https://www.bilibili.com/video/BV1pr6aYiE97/?p=64,BV1pr6aYiE97,64,,,223,https://i1.hdslb.com/bfs/storyff/n241229sa1c44j268gnz6utumr032mhy_firsti.jpg
如果爱忘了,戚薇,https://www.bilibili.com/video/BV1pr6aYiE97/?p=65,BV1pr6aYiE97,65,,,240,https://i0.hdslb.com/bfs/storyff/n241229sa200ztepur19q5q50sp28hid_firsti.jpg
走在冷风中,刘思涵,https://www.bilibili.com/video/BV1pr6aYiE97/?p=66,BV1pr6aYiE97,66,,,216,https://i1.hdslb.com/bfs/storyff/n241229saly5nqh79lmi43kw3j75tkvr_firsti.jpg
给我一个理由忘记,A-Lin,https://www.bilibili.com/video/BV1pr6aYiE97/?p=67,BV1pr6aYiE97,67,,,286,https://i0.hdslb.com/bfs/storyff/n241229sa3qz4wyndecbip6nbl1c8tza_firsti.jpg
时间煮雨,郁可唯,https://www.bilibili.com/video/BV1pr6aYiE97/?p=68,BV1pr6aYiE97,68,,,248,https://i1.hdslb.com/bfs/storyff/n241229sa2owmmdztd2mih2nnv7jtixi_firsti.jpg
趁早,张惠妹,https://www.bilibili.com/video/BV1pr6aYiE97/?p=69,BV1pr6aYiE97,69,,,322,https://i2.hdslb.com/bfs/storyff/n241229sa2ac34p98i3grl1317df1tsi_firsti.jpg
偏爱,张芸京,https://www.bilibili.com/video/BV1pr6aYiE97/?p=70,BV1pr6aYiE97,70,,,214,https://i0.hdslb.com/bfs/storyff/n241229sa3vurj2yyrxfs1cnr339g1yf_firsti.jpg
至少还有你,林忆莲,https://www.bilibili.com/video/BV1pr6aYiE97/?p=71,BV1pr6aYiE97,71,,,275,https://i2.hdslb.com/bfs/storyff/n241229sac9ei5n5fmdhn2tgbtj0em1t_firsti.jpg
海底,一支榴莲,https://www.bilibili.com/video/BV1pr6aYiE97/?p=72,BV1pr6aYiE97,72,,,105,https://i0.hdslb.com/bfs/storyff/n241229sa2ct72du2p8nc82r6bldcvsj_firsti.jpg
年轮,张碧晨,https://www.bilibili.com/video/BV1pr6aYiE97/?p=73,BV1pr6aYiE97,73,,,275,https://i0.hdslb.com/bfs/storyff/n241229sa1ochjnyk6vau726ddh3eqqf_firsti.jpg
